56,WIr9LBXh31o,"How can you tell that the person with the orangish-brown hair is not happy?","That person is not smiling like everybody else, narrows the eyes, and has arms folded."
57,XtbOPtyDukM,"What does the pilot do after he adjusts the position of his seat","He closes the window."
58,_CBPhP6yUJ0,"What distinguishes these two women","Their heads differ in shape and they are wearing different nose rings and forehead jewelry."
59,zNh8Xe1BoTk,"How many people are in the conversation in the video?","Two, a man amd a woman."
60,iPGlnf648lo,"Who is the character in the video?","He is the hindu god Lord Ganesh."
61,cVU_krji1k0,"What instruments are heard in the latter half of this video?","Violins being plucked."
62,rcltge0_NgI,"What is the first question in this video?","Want a 6 pack that would show through a shirt?"
63,f6n_3o4_6NA,"What is the young woman doing in the video?","She is performing an elaborate jump rope dance to music."
64,lBigc1QhJBA,"Why did Jonah buy a new van?","He's laundering money for Ruth."
65,voYO-NSgcQg,"Why did the two people change seats?","The woman felt uncomfortable sitting between two deaf people trying to sign to each other."
66,ddmTUFC3jdI,"What's going on here?","An anime is fighting with a bird/egg hybrid thing."
67,p_ch1AlRkJU,"what kind of landscaping is at the front of the house?","Tile and stone"
68,ZKIyiR5o3g8,"What does this little boy say in this video?","He sings, La, la, la, la."
69,Ug9UVCfhw_g,"What does a blind woman do when she walks her walking stick into a car on pavement?","She stops because having cars on the pavement is not familiar to her."
70,rE4E0jMhEKU,"What happens in the video after the walk with the dogs?","The dogs are sitting a table."
71,rEcNAcYNzNo,"What is the squating adult discussing with the child?","The picture he is drawing."
72,v8C4TEaYjV0,"how many blue bottles on the table at the end of the video?","three"
73,zG0E47fgNVA,"What does the dog do when the woman makes random noises at it?","Nothing. It holds onto its chew toy."
74,k3PwD7NEDMk,"Is the sculpture cut from a single piece of stone?","Yes, it looks like it."
75,tYSdxSGbqpA,"What does the animation in this video do?","It matches up with the song being played in it until the artist changes what the character does."
76,fiPDDHetwms,"What does the video show?","It is a demonstration of how to set up and take down a row of wire lines for a clothes drying area on the side of a building."
77,uAnU3648i0M,"What was the man doing with the Rubic cube after he turned it a couple of times?","The man kept trying it to match the same colors on each side."
78,YXS8o20O_XA,"What does the man do when the horse turns his head around","He laughs and starts rubbing the horse again."
79,vIOKIFfl5Ss,"What does the video demonstrate?","It shows how a bike without a chain works."
80,q_Jum6gd-7E,"What happens after the woman adds liquid to the glass?","The glass overflows and colored streaks run down its sides."
81,PcSmumgzgtw,"Where does the duck go after being on the bed?","The duck follows the person out of the house."
82,X2av4FEXi1Q,"how many bowling balls in action are seen in the video?","two"
83,r8_QWxQ1haA,"What are the man and woman doing with their soccer balls?","They are each kicking the ball barefoot to see who kicks the best."
84,_59_xuTmYBM,"Is the mad hatter shown in the video?","No."
85,bhGO0UTRc0c,"What happens to the girl dressed in a spider outfit at the end of the video?","The girl is standing in the middle of a room looking at a snake coming out of the side of her costume. "
86,gWyjSUujw18,"What do the young men do in the video?","As the rider lets the rear wheel spin, another young man pours a liquid on the rear tire, then lights it. The first man climbs off the bike. Then, another young man comes up to put the fire out."
87,TmAQpbpf0hc,"How many bangs does the woman have?","Two"
88,cPcMWCvsXkA,"What does the woman do right after zipping up the lower part of the back of her dress and making sure the halter top is secure?","She puts on lipstick."
89,yy00U82BqBY,"What happens by the end of the video?","The person with headphones on is excited that something is working."
90,jazJOop2RfY,"What words were on the mirror the first time it was seen in the video?","Your old."
91,vJmhwghmefM,"what do we see in the video?","a human ear"
92,_-8uILtxmj0,"After KFC and Apple what logo is shown in this video?","Subway."
93,l4oV8Eu5RrU,"What are two men demonstrating? ","Two men are demonstrating combat fighting skills."
94,XDv_qTnTGC4,"How many hand saws are in the video?","one"
95,r5qqWJsDmn8,"how many red tools are on the work table?","one"
96,uNJzLN3e2mQ,"how many brick structures we see in the background?","one"
97,ljR__v7vOd8,"what is this video based on?","the famous free advice stand in "Peanuts""
98,e6HPgkS2vFA,"What toy are the two men at the table trying out?","Two men are sitting a table trying out a new shock toy and one of the men gets a shock."
99,qWOqdBfnewQ,"What is the person demonstrating in the video?","How to use a posca mop to tag a wall or object."
100,v0mkL4pH_vw,"What instrument is heard in the background in this video?","A piano."
101,rG5WnxfW_tk,"What happens at the end of the video?","A woman is holding a bottle for a newborn while he drinks."
102,PexC2xwnCyM,"What is the video mainly about?","The video has different scenes with the same man in it."
103,lERWVnSZoKU,"What does the person in the video demonstrate?","The show how to hold the playing cards and your hands to perform a specific shuffle."
104,w8gIIJHRSEE,"How many times drills are used in the video?","Three times"
105,dOo1Nr9S8YU,"What happens after a man on a motorcycle holds his hand on the break while he accelerates?","Holding his hand on the break while accelerating makes the motorcycle back wheel spins causing smoke."
106,WKTNKskKZxw,"What sound is heard after the victim is stabbed?","A brief yelp of pain and surprise."
107,ZJnqjctK7Os,"How many buckets are in the video?","One"
108,fcKu1zbgNzo,"What happened after a newlywed couple were having their pictures taken in front a fire house and truck?","The sirens went off and the firemen raced to their truck causing the couple to quickly move out of the trucks way."
109,aWHdg9dxTxY,"what happens after a man picks up an old machine gun?","he talks about its features"
110,wMDjM2SSF2I,"what kind of badge the man is showing the kid?","A police badge"
111,VCndBhkKliI,"what do the woman and the boy do after she runs after him?","make a heart signal with their hands"
112,cP69q6-b5bA,"What is the video mainly about?","The video gives a view of looking out from the inside the mouth. "
113,UNI_CuHH_qE,"The little girl ate the tiramisu","Ice cream."
114,s_-1hPyg4wo,"What is the veterinarian doing with the dog?","He is showing where the dog's jaw is broken and needs to be reconnected."
115,fddmCJRirLY,"Does the video answer the question Who created Allah?","No."
116,Skqi8bSnFPE,"what is the woman's last facial expression?","shy smile"
117,RzRv9gTkADU,"What do the first words in green color say in this video?","Wait for the chorus."
118,vQtYF5Eu-e0,"What is the video about?","It is a cartoon character video."
119,jjNzDGpvrVY,"What words are sung at the beginning of this video?","And, I."
120,T8eAgWYm4aw,"why are the players chasing player number 7?","to celebrate a score"
121,n-ZLoqtei7M,"what did the girl do after being asked the question?","show her feet"
122,Y-Pog73LTOI,"What was a man doing in a yellow and blue car?","The man was driving down a three lane highway."
123,svoBl2klVeA,"In this series of videos who is the only member of this group who casually wears his hair uncovered?","Jeongin."
124,eqRwjlCH940,"What happens after a woman brings a pile of folded clean clothes and leaves them on the bed?","A man comes and pull up the sheet to get into the bed causing the pile of clothes to fall onto the floor."
125,qKDFC61Dun4,"What does this video demonstrate?","How to remove a bolt that is stuck."
126,Zah-U9107CM,"how many pairs of boots we see in the video?","Four"
127,sQAZhhr9GwY,"What does the man say about the two drawings?","He likes the drawing of the duck, but not the one of the elephant."
128,mxYQ0t4RWM4,"What kind of sound is heard in this video?","Machine gun"
129,eTdq96dRP04,"What is the video about?","The video has several scenes where the characters are calling for Mom."
130,j5KZXjxnnjI,"What does the young man in the video complain about?","He complains that he wakes up 1 minute before his alarm and therefore loses one minute of sleep."
131,mA-odtp9RU8,"What does the video show?","How to remove a stuck screw from a metal casing."
132,id1w6n9dI9E,"Whose name is in the lyrics of the song in this video?","Jeffrey Bezos"
133,VXxPrFUvDXs,"Is the car being driven safely?","No! it's hitting things."
134,inUaquCJuXY,"What's going on in this video?","A spill may have occurred."
135,m6J_c_rVRo0,"What is the woman in pink doing?","Dancing like a mouse."
136,lfTRz_GlfvU,"how many people we see walking in the background?","one"
137,v67MyJlhkCM,"What is the man in this video doing?","He is showing how to jump rope doing a cross movement."
138,bpAq3EpJ4OQ,"How did the man confirm whether or not the alligators ate all the big fish?","He lured them out of hiding with fish food."
139,S0UBN6U7MOE,"Why is a woman showing a boy how to put a nail through a comb?","The woman is demonstrating how to use a hammer."
140,as6xn1lXqGo,"What can be inferred from the prop in this video?","That this woman likes ice cream."
141,n9T7getDED0,"What is the video showing about playing soccer?","The video is showing the proper way to kick the soccer ball."
142,Sx68CfCVdeU,"What does the displayed text say?","Left fire button using."
143,We8S-NaVa9Q,"How many whole eggs are used in the first recipe?","Five"
144,pkPDgyG8OJs,"What does the woman do in the video?","The woman takes a bottle with honey and candies in it out of the freezer, sqeezes it, then eats the jelly when she squeezes it out."
145,e8HJUsC8AIw,"What language is being spoken in this video?","French."
146,wsy5TYVCaAc,"What is this video mainly about?","The adult male and one of the children acknowledge they are fat. The other child wants food."
147,pmBLGa8g8hw,"Do animals have pets?","Yes, sometimes they adopt the young of other species"
148,hV3GDoSDW5g,"What happens after the speaker talks to the princess?","He puts the roses in the horse's mouth."
149,T3FMFmuRkX0,"is this real or animation?","all animation"
150,YoH4M7lxkQ4,"What happened after a female news reporter asked a young man a question?","He gave her an answer and started laughing."
151,s9OBgQblHlQ,"Why is Mickey Mouse cursing?","Because the baby went in the elevator"
152,a3QF_HYUMN4,"Does the woman get up and sit across the aisle?","Yes, she sees a friend there."
153,yOQlJCHZVSU,"What happened after a man typed on a key pad at an ATM machine?","After typing on a key pad at an ATM machine, money came out."
154,eTMb2UkW4xY,"What is happening to umbrellas on a beach?","The wind is causing umbrellas to be pulled up from the sand and are flying across the beach."
155,vmluK-xNU5w,"What happens at the end of the video?","Two men have each other in a choke position on the floor after doing a martial arts move."
156,WK7gFmkLcws,"What happens after a man asks why a girl loves corn?","Holding an ear of corn, the girls starts singing a song about why she loves corn."
157,ehQYnP5McEE,"Why did the young man throw the object at the other in this video?","He is demonstrating a pitch in Japanese baseball."
158,ZSbmFLg3wWk,"What animal sounds can be heard at the beginning of this video?","Birds chirping, crickets, and owls hooting."
159,vIQPoeKWgJE,"What happens after someone tips small rolls of cloth so the viewer can read the label?","The pattern of the cloth is shown."
160,laSodimkLRI,"what are the man and the kid doing?","practicing martial arts"
161,oGcG4c59low,"What does the video appear to show?","It appears that a young man on a bicycle races down a street as his shoes and his bicycle fall apart due to his speed."
162,pJ5rYlGNEYs,"How do we know that the bridge is floating?","Because the bridge bends under the weight of the bus driving on it, and this in turn creates ripples in the water."
163,sGNi7XudW3g,"Why are the tiny fish jumping off the wooden cutting board?","Because they were just taken out of water and are alive."
164,dkqVc_x8Yu0,"What does the man with a mask on experience as he celebrates his 30th birthday?","The man imagined something on his left shoulder."
165,ylkgcUdPyrc,"Why us the player in blue pants wearing shin guards?","He is the batsman and may be hit by a pitched ball."
166,lHyOywcqJiQ,"What is the man pointing out in the video?","The man is pointing out a broken case of an engine in the video."
167,pRX6eyAhMLo,"What is the man is the video trying to convey?","The man is trying to covey smoking is bad for you, it damages your lungs and kills you."
168,y_b-9FFQdMs,"Who is this person and what is happening throughout this video?","This is a woman screaming."
169,edZw6WkeC1w,"What does the second man do in the video?","He is given the laptop by the first man, and then runs away with it."
170,tN1rwWBdXCk,"What does the man do when he pours out the water from the bucket?","He turns it over and sits down on it."
171,vQFnJL8-zg8,"what happens first the knock or the door opening?","The knock"
172,iBarpjLiw-4,"What connection does the song being sung to the video?","None, the song is about a ship. The video shows a small boy riding a toy tractor with a trailer."
173,qAKvESMJzgg,"What happens in the video while five trains pass by?","A woman is narrating while trains pass by."
174,pFjibCSHtmA,"What is the woman in the video doing to the other woman?","She is plucking eyebrow hairs to shape the eyebrows."
175,WZptY0zoUQg,"What happens to the nails by the end of the video?","By the end of the video the woman's nails are painted a pink color with silver squares."
176,Xo0_rhsSuYg,"what sport is the man playing?","Tennis Doubles"
177,TztfkUjWMik,"Besides background voices what can be heard in this video?","Honking horns and police whistles."
178,ZAdJQcdnSPQ,"What happens after the man uses his teeth to rip the tape?","He spits out the scraps."
179,z-CwHQzYcLo,"What is the young woman in the video doing?","She is just standing, smiling and laughing."
180,qj5YIM8MMbU,"What does the man's mouth look like after he brushes his teeth?","The man has toothpaste foam all over his mouth."
181,wwsPjRLEN0U,"What does the person do after certain parts of the guitar are shown?","He plays the guitar."
182,XhywcASFpqY,"What does the sign say on this museum object?","Ancient elephant tusk fossil."
183,bEJdHgK_HYY,"What does the boy do at the end of the video?","He waves goodbye."
184,X-ulqwPZIYo,"what kind of a tie knot is this?","A Windsor Tie Knot"
185,uI_Xq6xyfKU,"What does the girl do after leaning backwards and moving to the music?","She suddenly stops with a surprised look on her face and hands up to her mouth."
186,SjjB5RgQqYo,"The woman in this video is made up to look like what?","A monster."
187,w_zhaq2d3jU,"What is the thing on top of the blue box in this video?","It is pet tortoise that a man had kept for four years."
188,RP57-CoV4TU,"when does the man laugh?","after knocking the toy to the floor"
189,zo-_wxN7vac,"What did the person find in the lost purse?","She found a large bag of french fries."
190,h55l2W_8jEM,"What is the girl doing?","Dancing."
191,TEAZjO2g-2M,"what is this machine?","tree trimmer"
192,erVU0jIvrf8,"What country does this athlete represent based on the shirt he is wearing?","India."
193,b-bz4UflBI4,"Who do some women wear their shoes too big?","Women especially celebrities have been know to wear their shoes to big for comfort."
194,kPq9w27VbAU,"what occurs when the scratchy sound is heard ?","The speaker appears to get an electric shock."
195,olg-zoqcDYU,"How does the person in this video do a bathroom check?","By jumping off the bathroom window wall, onto the tops of the individual stall walls, and then jumping down to the floor."
196,bwypLnowXeE,"What is making the crackling or rustling sound in the video?","It is the sound of the snack bags being handled by the boy."
197,fAjy-wseGmg,"What product is the woman trying to sell?","Her name brand cosmetics."
198,VdKJxDQJz_8,"What happened after a woman made a large ATM withdrawal at the bank?","The woman was attached knocked down to the ground and robbed after making a large withdrawal at an ATM machine."
199,oSBVq4ISI_Q,"What did the man put into the trough after the water sewage pump?","Grass, dirt and plastic trash."
200,zoCDk9MCcZo,"what is the young man in the video doing?","He is jumping rope to music."
201,yRsk0uvbf_c,"What does the young woman do in the video?","She moves the young man out of the chair, sits and eats the ring tripe on the sticks."
202,bqlrbC0LVRc,"What is the third biceps exercise in this video?","It is the preacher curl using a bench support."
203,p_GhvVMaV9Q,"What is the man doing on this video?","He is sprinting around an outdoor track."
204,qxtwojWJiGY,"What does the woman do in this video?","She uses a bobby pin to shape her hair along a part."
205,pGoa9F5-tWs,"What is the man doing with the camera?","He is taking a closeup picture of a subject in the field of rice"
206,hTE_R3d5qmg,"What is the man in this video doing?","He is apparently smoking a hookah in front of a ring light."
207,fNZJF4fso0s,"What happens to the fish by the end of the video?","The fish tries to bite a boy who has his finger in its mouth and he throws it back into the water."
208,vp8MJWBN874,"How does the woman remove her long fingernails?","By pressing the tips of the nails against a hard surface."
209,fpe2b6Yl1Yk,"Why is a bus pushing a cart down the street?","The bus driver is helping move the cart down the street."
210,TzcWm7revok,"What does Mongolia have to do with this video?","The video shows how Mongolia's territory has changed over the years,"
211,U7_U-wccIh8,"what happened to the fireworks?","they all exploded at the same time on the ground"
212,zLvj5t7lqho,"Who is the second man in the video doing?","He is receiving an international award for soccer."
213,UQfR6QJNlNg,"What happens to the coke bottle by the end of the video?","When the man puts beads in a coke bottle, puts a top on it and shakes it, it explodes."
214,O-RhE2cxHuM,"What is happening in the video?","A video character dressed with a mask on starts dancing while holding a basketball."
215,Y0-hJbpJ_DQ,"What happens to the basketball player by the end of the video?","After trying for a long time, the basketball player s finally to make the basket at the three point line on two feet."
216,pQsDi3-tsFs,"What does the man with the chainsaw do after cutting most of the branches off of the trunk of the tree?","He makes a cut near the top and then pushes the top of the tree off."
217,Ym_Ef1Ak4ao,"What happened to the man after he placed water filled balloons under his shirt?","He bounced them up and down as to imitate a woman with breasts."
218,rxlZ-OwV0Cg,"What is the woman in the bed doing?","She is watching a sonogram of her new baby in her womb."
219,py_n5fZcvOM,"What color is the woman's hair being dyed?","Purplish."
220,uQ9XFpqx3SA,"What is the male character doing in the video?","The male character is turning in circles. "
221,gj0pt_PmA5M,"What is the narrator talking about in this video?","He is explaining how to flip cards from your hand, while he demonstrates it."
222,fxupabiMYMA,"What makes this video of Chuck E. Cheese creepy?","The eyes turn black in the picture of the boy hanging on the wall."
223,ilwtjeR4DUM,"What is going on in the video?","Two characters, a stick person and a rabbit are having a conversation."
224,p1f0XGHVg5c,"how many times is the woman being pulled off the screen?","four"
225,v-MnqsKTOAs,"What food are they making in the video?","These are wontons filled with shredded vegetables."
226,b3AiKiaytS8,"What is the video about?","The video involves steps taken to remodel and renovate a bathroom."
227,U-wsBfJaixo,"what are the colorful things stacked to the right of the door?","Traffic control cones "
228,upWd-_Hllic,"when does the bus appear?","in the first frame"
229,wYhZKT5nzHw,"what does the man do after getting up?","walk through a doorway"
230,bbJiqfouzFU,"what are the people in the background doing?","standing in line"
231,X3lNZ7CAuFg,"What happens to the black bear at the end of the video?","The black bear goes down the mountain."
232,u1iG3X4YVCQ,"What does the older woman tell the younger woman in this video?","She apparently tells her to drink a glass of water before she leaves."
233,rxWv6JmExPY,"What happens by the end of the video?","A man shows how to tie a rope around a metal clasp."
234,lAaL_Pl96-M,"What happens in this wedding ceremony?","The bride first puts a scarf over the groom's shoulders."
235,_dgem9MUdlM,"What happens after the boy in the green shirt wraps his scarf around his neck?","He teases the boy in the orange striped shirt."
236,pNtFjnjEraE,"Who does the dog prefer to snuggle and play with?","The dog prefers to play and snuggle with the husband."
237,exMmV_Xuz00,"How does the video recommend doing a factory reset on the device?","Pressing the button on the back of the device for three to four seconds."
238,iZlzRtP0_Rs,"How many of the young men on the bench will become as muscular as the man who just walked in?","One."
239,bvFeEx6edss,"Does the squirrel get to the bird feeder?","No, it slides off."
240,WvigSU66fVY,"What happens when they finish spelling Pinocchio?","The cat holds up a sign saying "Pinocchio""
241,f_q7XU9t0wc,"Why is the man touching his wife's head?","He is trying to assist her in placing her hair in the desired position."
242,SEHQfktr8QA,"What happened when a man standing on a pier threw a fish connected to a fishing line into the water?","A larger fish tried to take the fish."
243,fYSj-9mHDrI,"What kind of music is playing in this video","Electronic music."
244,VRRhieNNP44,"how many players are on the defense wall?","four"
245,S5rhUHmPbZc,"What gesture does the speaker make at the end of the video?","He raises his forearm while making a fist."
246,uQ8hMUztxlA,"Is this game exciting enough to appeal to an average pre-teen boy?","Yes, if he can get it as a birthday present from his parents."
247,TAGAyQaY1-s,"what is on the little girl's back?","a backpack"
248,w7P122P6ur8,"What happens when a piece of raw meat and fresh string beans are put in a food processor?","The meat and string beans get minced together."
249,j8zgaKU6EdQ,"What is the young woman's reaction in the video?","She is at first unsure what she should give as an answer to a question."
250,R97EpCZMPO8,"Is the speaker's advice realistic?","No.  It's too simplistic."
251,q8Rvn1JnGlo,"What does the young man do when the young woman stops him?","He goes back behind a display box, sneaks around and startles her."
252,x_n23pGTPcY,"What does player #55 do to quiet down the crowd?","He puts his finger to his lips to indicate silence."
253,ZnX2fbjE3c0,"What happens when a hand pulls the twisted ends of a candy wrapper apart?","They get untwisted"
254,qngpeFceD1Q,"What background is used for the animation ?","Mountains against the night sky"
255,h6NzQomDYJ4,"what is the third piece of art shown after the girl eats the cake?","the birds"
256,pIJzzcsrD_o,"What does this video show?","It shows that the tennis player doesn't know how to use a baseball bat."
257,uvGpOYqnz2Q,"What sound is heard before the tickling torture procedure begins?","A whistle."
258,dFUIWVaS47U,"What would you use shaved ice for?","Snow cones."
259,r2l48PYawMg,"How many chicken are in this video?","None, it is a rooster in the video, not chicken"
260,VArK0Aie_iU,"Why is the woman having her hair cut off?","It's trendy."
261,rJtbBlR2Xgo,"Why did Sherlock Holmes shoot a pistol 5 times outside of a building?","He was summoning the police the fastest way he could."
262,h7ujWhN1Iv8,"why do the bees cling to the hive?","to protect the queen bee"
263,cPuK3De2nWM,"how many big trucks in the video?","two"
264,Z0DFbXIFWTk,"What instruments are heard in the background of this video?","Drums and cymbals."
265,lbx7EvwgL4k,"What is the video trying to convey?","The video is trying to convey a young man has a crush on a young girl."
266,oafVBzTzjzA,"Why does the hungry heroine want the popsicle?","She's been losing weight."
267,yWfMWABHoEw,"Why is the man shooting the pellet gun?","He is in a paintball game against other teams."
268,Y_jNwGMNQJY,"Why didn't a passenger rescue the cat?","They had to stay in their seats this close to take off"
269,ufjnqtgl2xw,"What is this about?","Financial data for Japanese rock musicians."
270,hvsZeGvtTkw,"What happens to the water in the video?","A wave crashes against the seawall and floods over it onto the grassy area where people are standing"
271,aygjEfA8Hdw,"What is the last sentence verbalized in the video?","They're going to know."
272,kgOAaUEQpNA,"What is an expensive football boot brand and model according to this video?","Nike Phantom."
273,vj8-suy_X8Y,"Why is the woman stepping backwards?","to avoid the wave water"
274,znokweF4YPE,"What is the video mainly about?","The video is mainly a basketball game."
275,lrOmuTGXuPA,"what is the woman doing after covering her legs?","fixing her hair"
276,m6CpAnEAJzI,"What do the boy and girl do after he drops the plushie and they tap their fists gently against one another?","They are making a music video."
277,qgqMJpQ2Jw0,"What is heard as the roller coaster goes down?","Screams."
278,gc3iB87ARKk,"why is the dog stuck in the door?","its an automatic door"
279,WwneE44CqAY,"What words are displayed in multiple colors during this video?","Give me a minute."
280,qv9v1QlcZU0,"What does the recipe make in this video?","It is a recipe for home made mouth wash."
281,tjDArsnB6Ik,"What are the lyrics heard at the beginning of this video?","I got guns in my head and they won't go"
282,fDqhujyPpSM,"What is the first displayed text in this video?","Giving logos St. Patrick's Day redesigns"
283,fQ4aurKJJKY,"How many race cars in the video ?","Two"
284,yDdXeC22-Rc,"What happens on the video with the girl character with long nails?","The girl character turns around and wipes out all the other characters behind her."
285,SpRIooRpK1k,"how many windows we see on the house behind the dancer?","two"
286,vOiq_b8ykYs,"Is there anybody in the back?","No."
287,jQxvZXdE0CM,"What solo instrument is heard in this video?","Violin."
288,ocKHPYTTrj0,"What does a cat do after someone plays notes on a piano?","The cat hits the next note perfectly."
289,wfrmcmKuF1s,"Was the helicopter pilot a good pilot?","No, he hit the power line."
290,gwh-FHuve3U,"What does the young man in the video explain to the viewer?","He shows that there is a more than one way to get some video off a TV screen."
291,W-tk1xDInmU,"When playing ""left or right"" what did the boy do with the third player?","He changed which hand held the bag of candy so that she would get the candy."
292,PqzMPOrVCgs,"What happened after a woman in a tight outfit walks into the isle of a store?","After the woman walks into an isle a man standing next to another woman notices and starts drooling then that woman with him hits him over his head while another man comes in and tells the man not to look at her."
293,TPOZeI1Qvqo,"What happens after the soldier returns from deployment?","He throws off his pack and other gear."
294,i0HfIOaBfwc,"What does the video show?","The video shows how a woman kept track of her family's expenses and saved a lot of money in a year."
295,OKXTC1o5glc,"What is the woman asking the World leader of India?","She is asking him what does it mean to be on the fence?"
296,cCk-S3HAPdY,"how many cowbells are on the kit in the beginning of the video?","two"
297,iukNNcop5bE,"what utencil is the man using to serve the food?","large serving spoon"
298,T3ACb8Xaneg,"what did the men get out of the wall storage?","weight lifting shoes  and a towel"
299,euaMSceagC0,"What is the woman waithing for?","The man to show up."
300,yL-asttNFsw,"What is the woman doing in the video?","She is modelling her new jumpsuit."
301,hhzN_nAzXS4,"What is the video about mainly?","The video has photos of a couple celebrating their anniversary."
302,ZXoFr3oTeJ8,"what side of the road is the police car parked when we see it first?","left"
303,RiCVWM2a550,"What happens after the woman encourages her daughter to put her shoes on at school?","The woman gives up and walks out of the school with her barefoot daughter and puts the shoes in the trash can."
